Country,Name,Source,Location,Capacity,Status,Start,Owner,Capital,HQ,Link,Latitude,Longitude
Ecuador,PUERTO AYORA,Solar,Galapagos,1.25,Operational,2014,ELECGALAPAGOS S.A.,State,Galápagos (Ecuador),https://www.recursosyenergia.gob.ec/wp-content/uploads/2020/01/4.-EXPANSION-DE-LA-GENERACION.pdf,-0.744513,-90.320531
Ecuador,BALTRA,Wind,Galapagos,2.25,Operational,2014,ELECGALAPAGOS S.A.,State,Galápagos (Ecuador),https://www.recursosyenergia.gob.ec/wp-content/uploads/2020/01/4.-EXPANSION-DE-LA-GENERACION.pdf,-0.441835,-90.26597
Ecuador,SAN CRISTOBAL,Wind,Galapagos,2.4,Operational,2007,ELECGALAPAGOS S.A.,State,Galápagos (Ecuador),https://www.globalelectricity.org/content/uploads/Galapagos-Report-2016-Spanish.pdf,-0.892067,-89.498407
Ecuador,CONOLOPHUS,Solar,Galapagos,14.8,Under construction,Undetermined,To define,Private,Cumbayá (Ecuador),https://www.eluniverso.com/noticias/economia/principales-retos-economicos-para-el-gobierno-de-guillermo-lasso-vacunacion-deficit-sector-productivo-a-partir-del-24-de-mayo-2021-nota/,-0.445493,-90.280711
Ecuador,CENTRAL EÓLICA VILLONACO,Wind,Loja,16.5,Operational,2018,GENSUR,State,Loja (Ecuador),http://www.celec.gob.ec/gensur/index.php/cev/central-eolica-villonaco-en-cifras-2,-4.001403,-79.259942
Ecuador,MINAS DE HUASCACHACA,Wind,Loja,50,Under construction,2021,ELECAUSTRO S.A.,State,Cuenca (Ecuador),https://www.elecaustro.gob.ec/proyectos/proyecto-eolico-minas-de-huascachaca/,-3.359165,-79.386318
Ecuador,VILLONACO II Y III,Wind,Loja,100,Under construction,2022,Consorcio Cobra Zero – E Villonaco (Spain),Private,Madrid (España),https://www.pv-magazine.es/2020/12/09/empresas-espanolas-en-latam-solarpack-y-cobra-zero-e/,-4.043149,-79.237852
Ecuador,El AROMO,Solar,Manabi,258,Under construction,2022,Solarpack (Spain),Private,Bilbao (España),https://www.pv-magazine.es/2020/12/09/empresas-espanolas-en-latam-solarpack-y-cobra-zero-e/,-1.071049,-80.79122
EL SALVADOR,Sonsonate,Solar,Sonsonate,14,Operational,2020,Real Infrastructure Capital Partners LLC,Private,New York (US),https://www.enerlandgroup.es/es/proyectos/detalle.php?id=118,13.582654,-89.81507
EL SALVADOR,Trinidad y Márquez,Solar,Acajutla,17.8,Operational,2019,Real Infrastructure Capital Partners LLC,Private,New York (US),https://www.enerlandgroup.es/es/proyectos/listado-proyectos-grandes.php,13.578542,-89.798972
